,Index,name,reviews,rating,featured_image,main_category,closed_on,address,review_keywords,link,planning_area,opening_time,closing_time
124,125,Tong Fong Fatt Hainanese Boneless Chicken Rice,149,1.6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nojr9L2ZyqiZbuEOfGVhOV4YDucj9J07vwwkJQXwHr7gSFlKXZJ-g75mzd_ITSQqk5fTBAImefQFWPk6m0-TPnzK6kCVQblV4iEyR7SS7XAZaCfRmPuvuumHP5eFhd3TkVscL98=s1024,Hawker Stall,Open All Days,"21 Sengkang W Ave, #03-25 Fernvale Hawker Centre & Market, Singapore 797650","uncle, queue, cashier, review, pay, roasted chicken, rude, salty, steamed chicken, thigh",https://www.google.com/maps/place/Tong+Fong+Fatt+Hainanese+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da17d1ab7858b7:0xa907b62934ad14d7!8m2!3d1.3914265!4d103.8770213!16s%2Fg%2F11s569b8tx!19sChIJt1h4q9EX2jER1xStNCm2B6k?authuser=0&hl=en&rclk=1,Punggol,10:00,20:00
125,126,Boon Tong Kee,301,3.8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrbQVk_ulqMX1oL1eI8Y_4t4p2EIjjwJ4Yl6KvpAXcxpBTUXEtIrNImxOP_N6qvuLPwPmjc0H-qDNx8NLp8pT6g6kaIGEgrLWDNtnF816roOooQC0n2eAUWUnnABwTmPpHLlPOgpA=s1024,Chinese restaurant,Open All Days,"1 Sengkang Square, Unit #01- 34, Singapore 545078","chicken rice, outlet, steamed chicken, compass one, ginger, skin, broccoli, kid, fish, dining",https://www.google.com/maps/place/Boon+Tong+Kee/data=!4m7!3m6!1s0x31da17ce9ca2dc69:0xc147ce835f84df7!8m2!3d1.3917467!4d103.8947922!16s%2Fg%2F11hd_8r7v7!19sChIJadyinM4X2jER9034Neh8FAw?authuser=0&hl=en&rclk=1,Sengkang,11:00,21:00
126,127,Boon Heng Atas Hainanese Chicken Rice and Roasted Delights,15,3.9,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF_XDOOI85lFI7l0nTdB3pRsRBm9nbTkofI3M2JcYQ_L_vIptM0i-2c5DBs69Tb76SCjmLFeHSYvnAz4GkG6xMXhDMoo1VfpLDtSyM4MJ_5cdMgrgtT8BuLH-IAM-rDAhlNBoVmLG88zoiJUvlooVxS9qA7GrBZZoHndhxsNipoqmWIWnvg6iJmSg=s1024,Hawker Stall,Open All Days,"330 Anchorvale St, #330, Singapore 540323","roasted chicken, duck, price, roasted pork, char siew, queue, reduce, curry, cooked",https://www.google.com/maps/place/Boon+Heng+Atas+Hainanese+Chicken+Rice+and+Roasted+Delights/data=!4m7!3m6!1s0x31da170073f05ff5:0x99dd18f043fb5fd6!8m2!3d1.3968731!4d103.8891891!16s%2Fg%2F11ybdxntrv!19sChIJ9V_wcwAX2jER1l_7Q_AY3Zk?authuser=0&hl=en&rclk=1,Sengkang,08:00,20:30
127,128,Chef Wang Fried Rice,29,4.2,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqEOqXowFvPhQotTbSrXo38GJtrmnG0VJV1A6-m3ShK1MlrCilMYDViN04tOyWKh5JiDMKBRZYyBIjzQOmSBnDpBB55T4gC2HpzrRGx-Cq5XIi7OlFlT3o0Of1suebiGiVGTXih=s1024,Hawker Stall,Open All Days,"70 Compassvale Bow, #02-K28 Buangkok Hawker Centre, Singapore 544692","price, pork chop fried rice, cooked, wok hei, short grain rice, shrimp fried rice, sambal fried rice, grain rice, chicken fried rice, egg fried rice",https://www.google.com/maps/place/Chef+Wang+Fried+Rice/data=!4m7!3m6!1s0x31da17b3acb8740f:0x17ecfe87447bb310!8m2!3d1.3829139!4d103.8924848!16s%2Fg%2F11vly66_hs!19sChIJD3S4rLMX2jERELN7RIf-7Bc?authuser=0&hl=en&rclk=1,Sengkang,10:30,21:00
128,129,Mian Ji Fan chicken rice,42,4.6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRWkLnRn2FhiXRvliIcf-TEa3xv3mQEJkDhkPMddCOQTsQbs4ZNFOjMv3fwS9eyw8HdCrts6gFC2vl-awPRLmbObhtjaQ-tJqwJEBUKSI5lHhINpZcR_3fOXvTA6hzyW1o-we4=s1024,Hawker Stall,"Monday, Thursday, Saturday","153 Serangoon North Ave 1, #01-512, Singapore 550153","price, queue, achar, chili, ginger, cucumber, coffee shop, pineapple, lunch, school",https://www.google.com/maps/place/Mian+Ji+Fan+chicken+rice/data=!4m7!3m6!1s0x31da17e6e820542f:0x9e9df7ca169cc1fa!8m2!3d1.3703464!4d103.8723502!16s%2Fg%2F11jv157qvc!19sChIJL1Qg6OYX2jER-sGcFsr3nZ4?authuser=0&hl=en&rclk=1,Serangoon,10:00,14:00
129,130,Lee Wei Hainanese Chicken Rice & Congee,15,3.3,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE9U8QfCQGnDAHxsCBSSHCgptCal2u3B_u8HAkPMfiEoWpzCpy2TKXQiTkEpmwZF9y7J8VtW_ZO5uQl50mRtW4lVPXbxciyIB_dhJxjE8lYPINtqXQ6-xlwzoQQO9ce59CsTvhvKBlLsv6RpCReRNj0lC4rsZsLQGqwlvT5ZlvAO4_ubg1YuMoVIA=s1024,Hawker Stall,Open All Days,"10 Sengkang Square, #01-34 Kopitiam Square, Singapore 544829","chilli, steamed chicken, soup, roasted",https://www.google.com/maps/place/Lee+Wei+Hainanese+Chicken+Rice+%26+Congee/data=!4m7!3m6!1s0x31da17007679c62b:0x95c297319548e11!8m2!3d1.3915045!4d103.8936107!16s%2Fg%2F11y4tfxhs7!19sChIJK8Z5dgAX2jEREY5UGXMpXAk?authuser=0&hl=en&rclk=1,Sengkang,,
130,131,Chicken Rice Stall,1,4.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHGiQ3_ldSPaCu06nzkSy6V10RfDTO5x3Fly1qa6X50UsfvliOxcI5FdIGSufrllXOmMeJeFxvGzAVgpDZ3W-tN-JmzdZwBW5IJJhs8MSLCrl_5XWZty2SObJ2Jsq_XrfNpmjkNN5TkRcEbC4FbNEDJGXuO7lTKLI_IMWlSeuCQ_VsVIv_5OJQ=s1024,Hawker Stall,Open All Days,"350A Anchorvale Rd, Singapore 544317",,https://www.google.com/maps/place/Chicken+Rice+Stall/data=!4m7!3m6!1s0x31da17004afc18a3:0x42135a005b11e52b!8m2!3d1.3930222!4d103.8868535!16s%2Fg%2F11x7n159sl!19sChIJoxj8SgAX2jERK-URWwBaE0I?authuser=0&hl=en&rclk=1,Sengkang,09:00,19:30
131,132,Yuan Ji Chicken Rice,10,3.0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np8G68aShnRxsmBxK4kJ_O3A4TKB9aVVf63rHaFf8uXcjnio4GnS4SEh4cSZqnOrvrJ9PutigTRjJurLOgCRgtBTu77c-Oe2NpY575Z3ZG9MCBdojTk1qnPbUfWYSEpMe2k5fE=s1024,Hawker Stall,Open All Days,"Blk 982 Buangkok Cres, #02-01 Stall 3, Singapore 530982","roasted pork, char siew, priced",https://www.google.com/maps/place/Yuan+Ji+Chicken+Rice/data=!4m7!3m6!1s0x31da17679c03aa31:0x55ffb9953cfa3cee!8m2!3d1.3807983!4d103.8793702!16s%2Fg%2F11k7whllvq!19sChIJMaoDnGcX2jER7jz6PJW5_1U?authuser=0&hl=en&rclk=1,Hougang,10:30,20:30
132,133,Cinta Hainanese Chicken Rice,2,3.5,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEeUqoKi1qHWYspyrFZ4vdELW0F9_d6FOyT7wZscmZKJ3xcElZgJbI0TMUcOMaYrjmY39BHn0YltYU4svIONtFrgwBf6PH-OFH4xOALwhjRh9ZsWHrU9bDFzbw6NMoagxcThh2kj-cUtotvxtvOC5Rfb4JfiMEFjictalvl3n2q37opetl3mpgeGA=s1024,Hawker Stall,Open All Days,"1 Sengkang Square, #04-11 Compass One, Singapore 545078",,https://www.google.com/maps/place/Cinta+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da170045a6c2e5:0x9e81a121a92e7ee0!8m2!3d1.3920338!4d103.8953525!16s%2Fg%2F11wvd8grw5!19sChIJ5cKmRQAX2jER4H4uqSGhgZ4?authuser=0&hl=en&rclk=1,Sengkang,11:00,20:00
133,134,Uncle Louis Famous Chicken Rice,27,2.7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCSIiDKru9yZbKIQskkUjL3bn9CzqGpMU0pdren1DHCF5uJKPA7EVD-C3DIfp9NwUNm5SWKARTCJxotQ0dkj6LgqAUyp_YqO63Rxaqco5dzjrvhXSzxpbj-tlAxvUVzY2-8dcw=s1024,Hawker Stall,Open All Days,"339 Anchorvale Rd, #02-07 Hawker Centre, 339, Singapore 540339","price, roasted chicken, bone, average, chili, steamed chicken, chicken breast, chicken thigh, drumsticks, ginger",https://www.google.com/maps/place/Uncle+Louis+Famous+Chicken+Rice/data=!4m7!3m6!1s0x31da17002c0357f3:0x97c0bc4829d15dae!8m2!3d1.3969561!4d103.8882096!16s%2Fg%2F11w1k4gzzx!19sChIJ81cDLAAX2jERrl3RKUi8wJc?authuser=0&hl=en&rclk=1,Sengkang,,
134,135,Wen Chang Kee Hainanese Chicken Rice (Hougang),10,2.6,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF-c8zPPkIGqIvE7Mcx16XGxkhNDRUXhcLPKMYRdurkp-XCKbRE-32njrLinJ3G85WY9egCbT55N496T-i9MoOz53RVn8BehHcdOynzcSXAG4oNABnBR3DpkYMT6h-J_Qiauj0OHSqb_eF4S2fd8as8u5-3_olmS9Ca02YwN5M8xrDHUebL9b0=s1024,Hawker Stall,Open All Days,682 Hougang St. 61,"price, chilli, soup",https://www.google.com/maps/place/Wen+Chang+Kee+Hainanese+Chicken+Rice+%28Hougang%29/data=!4m7!3m6!1s0x31da171c66f90b8f:0x12b5bee1cdbe2bdd!8m2!3d1.3745884!4d103.8857743!16s%2Fg%2F11tdsvbm76!19sChIJjwv5ZhwX2jER3Su-zeG-tRI?authuser=0&hl=en&rclk=1,,,
135,136,Ming Xiang Chicken Rice,15,3.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHbnPFzzLVoQYDiwPRzTH9H4Ke1_59jOXgzMnCT_k2Eusn12u2Io_b-RvZah2tHt0NBq-LDMqSqV0CcNAveRarNjBzwKAg3KiXtd2hc4qhtxpvY7NjvN4WnBnimoW1fdx0l1eoR6tQoHIWM21ogpqGWvuVNnFskTsMgbK9PH8rGWM2YMZZro22BUg=s1024,Hawker Stall,Open All Days,Rivervale Cres,"price, wanton mee, roasted chicken, char siew, soup",https://www.google.com/maps/place/Ming+Xiang+Chicken+Rice/data=!4m7!3m6!1s0x31da161c9fd3051f:0xae963c87acf2505e!8m2!3d1.3902886!4d103.9088131!16s%2Fg%2F11gblfbwzy!19sChIJHwXTnxwW2jERXlDyrIc8lq4?authuser=0&hl=en&rclk=1,,10:00,21:00
136,137,Hougang Hainanese Boneless Chicken Rice,96,4.3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nplwOFrbryBEYZy0259hpCrb-0uS4KgQOx55JlNmK9CBkktgkSahgnT7C4qn6FofHYI8oWqhtPtreE-hJeOqdL_c62PYFTS242ugjSaHwd3TZ2sMm_6hofvfgeu8Rl64iL3i7vrQQ=s1024,Hawker Stall,Open All Days,"809 Hougang Central, #01-178, Singapore 530809","price, soup, queue, roasted chicken, chili, spicy, takeaway, steam chicken, char siew, hainan chicken rice",https://www.google.com/maps/place/Hougang+Hainanese+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da17b32c68b6b3:0x85fd455476743207!8m2!3d1.3712772!4d103.8939151!16s%2Fg%2F11h_76jt8m!19sChIJs7ZoLLMX2jERBzJ0dlRF_YU?authuser=0&hl=en&rclk=1,Hougang,09:30,19:00
137,138,Kenny Rogers Roasters Sengkang Grand Mall,590,4.4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrngaoSaHsXeBFKp2ScESXqa910biWp-RDz64XUd97re95Jql01evGQTeBedwEgTc-9lEMu4aXe-nWSfmqWKTl3gzqvB6OWFdJWufKOsHGpA7FFke9r3wBE3XQ1udK-7LIQevMEkg=s1024,Restaurant,Open All Days,"70 Compassvale Bow, #01-60 SengKang Grand Mall, Singapore 544692","sides, chop, corn muffin, mac and cheese, mashed potato, fish and chips, nasi lemak, rotisserie chicken, potato salad, onion rings",https://www.google.com/maps/place/Kenny+Rogers+Roasters+Sengkang+Grand+Mall/data=!4m7!3m6!1s0x31da177058ae392d:0xf26ae0e5eed6bb02!8m2!3d1.3827584!4d103.8920014!16s%2Fg%2F11khmfp22d!19sChIJLTmuWHAX2jERArvW7uXgavI?authuser=0&hl=en&rclk=1,Sengkang,11:00,22:00
138,139,Tong Fong Fatt Hainanese Boneless Chicken Rice,2,4.0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsf-2pftfVEjjHsLnAptlviXez4XLK_yEiuMWMi0gtj6Hz0Bj-mhURq-ojIZ021U-LP06ZmhhzzD-fcHiaz7ws5it3uiZst6vHHbwSFGH1XfP2IEgGmenn1MUDDVEqWBv5JAWy=s1024,Hawker Stall,Open All Days,"7030 Ang Mo Kio Ave 5, #01-30 Northstar@AMK, Singapore 569880",,https://www.google.com/maps/place/Tong+Fong+Fatt+Hainanese+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da17000c58b517:0xf7ab263ef0526444!8m2!3d1.378503!4d103.8756198!16s%2Fg%2F11wmxcr1nw!19sChIJF7VYDAAX2jERRGRS8D4mq_c?authuser=0&hl=en&rclk=1,Ang Mo Kio,,
139,140,Bee Hong Hainanese Chicken Rice,0,0.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHYIcZ37WatTT4yym74Tde_iAggcn9CxBAcfTs9ZNILcVGqZNR_BiTQBm_q5DmE2l2jAkB5Q53tNRNMcA5ESY_lLS9PM5YGYfpILw1_iV3kI3bYz4eLO9XEz0ZT7KnTZEwOcGovF6SpcJz-MN_2lC4--hFqVJ_zd85NsPvxlW9KHmr2eJSjbKBA=s1024,Hawker Stall,Open All Days,"33 Sengkang W Ave, #03-10/11/12 The Seletar Mall, Singapore 797653",,https://www.google.com/maps/place/Bee+Hong+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da17005de3fdd9:0xce0311bc37a6e46!8m2!3d1.3911117!4d103.8759101!16s%2Fg%2F11wv6xxlxs!19sChIJ2f3jXQAX2jERRm56wxsx4Aw?authuser=0&hl=en&rclk=1,Punggol,11:00,20:30
140,141,Buangkok Hawker Centre,517,3.7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqEmco0DSA2p8Y4pmz5QdGqjHahl4eebsgnccNy1-c7vIS6FB5sniMBeEZggsA438hhDsUdN4EHzz4XOgjsGP9YFnHPcwultPPCJFgaHFfv56Svr379FTIvP4DmxnhWLsJrepuW=s1024,Hawker center,Open All Days,"70 Compassvale Bow, Singapore 544692","stall, ventilation, lor mee, dbs paylah!, cash, food choices, local food, kway chap, ceiling, escalator",https://www.google.com/maps/place/Buangkok+Hawker+Centre/data=!4m7!3m6!1s0x31da17623c945a87:0x9d2cd2f33a804e23!8m2!3d1.3826089!4d103.8921475!16s%2Fg%2F11v3tydff1!19sChIJh1qUPGIX2jERI06AOvPSLJ0?authuser=0&hl=en&rclk=1,Sengkang,07:00,21:30
141,142,"Eng Kee Chicken Wings, Buangkok",65,4.0,https://lh3.googleusercontent.com/p/AF1QipNLNzz_GBBB75BM_QoS8tMozAsq50P23qLF8hE1=s1024,Hawker Stall,Monday,"70 Compassvale Bow, #02-K13 Buangkok Hawker Centre, Singapore 544692","beehoon, bee hoon, queue, price, fried chicken wings, outlet, otah, salty, long beans, crispy chicken wings","https://www.google.com/maps/place/Eng+Kee+Chicken+Wings,+Buangkok/data=!4m7!3m6!1s0x31da1767d0fdb107:0x71a7754db6c3a5e8!8m2!3d1.3822772!4d103.8924763!16s%2Fg%2F11vlqvfxst!19sChIJB7H90GcX2jER6KXDtk11p3E?authuser=0&hl=en&rclk=1",Sengkang,11:00,19:30
142,143,Heng Heng Hainanese Curry Rice,13,4.3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQJkSniiIQuF9gsdzMpjf4mA8d77_ZeH-XcTbYbLHJKYcT-xv3NTUPbrURpWWYKpgAgsxawnZtg5MbJTIVJDw5t-6taVQiNOmrVrH9gveneyOYmRxLW0dSOPdn86TFsnt9mCo=s1024,Hawker Stall,Open All Days,"10 Square, Sengkang Square, Kopitiam Square, 544829","braised pork, pork cutlet, signature, kong bak, servings, chop, cabbage, fried, price",https://www.google.com/maps/place/Heng+Heng+Hainanese+Curry+Rice/data=!4m7!3m6!1s0x31da170064dd860f:0x1b666fc675501ca1!8m2!3d1.391355!4d103.8936097!16s%2Fg%2F11vtbpxby6!19sChIJD4bdZAAX2jERoRxQdcZvZhs?authuser=0&hl=en&rclk=1,,11:00,21:00
143,144,chicken Rice (Koufu Sengkang Hospital),3,3.0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEerEVPbRjPXC0NJaJSl-tRxgiEZKLDteZtS0jC6srYVtb8we4WMzt43-NQwBfhAAcmOUay6KPM6wN1mQRPiKzXoBxiZsO6ofM2v9KOyhUWk4TMMMO_I6p7hTveXmXgq_3k9je=s1024,Food court,Open All Days,"110 Sengkang E Wy, #01 21 St, Sengkang General Hospital, Singapore 544886","chicken drumstick, roasted chicken, egg, lunch",https://www.google.com/maps/place/chicken+Rice+%28Koufu+Sengkang+Hospital%29/data=!4m7!3m6!1s0x31da170044e9b359:0x7fd2515aebe46fb9!8m2!3d1.3954315!4d103.8928533!16s%2Fg%2F11wnf7kdgz!19sChIJWbPpRAAX2jERuW_k61pR0n8?authuser=0&hl=en&rclk=1,Sengkang,09:00,21:00
144,145,My Kampung,67,3.1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqI3S2i7AZ43gn7U_N5FlpbY-d7xYBr9NmQnREQfZX_Gv_EwOk2g6ZTY7Ts5e6AFiLTVKD2CT7qPEWd92ajOEObuvLbqZyjJ6wQBIp2EOQq7wow-GWZ4_i_1xFgqGscErk0wh-z=s1024,Restaurant,Open All Days,"33 Sengkang W Ave, #B2-07 The Seletar Mall, Singapore 797653","price, chicken rice, takeaway, cashier, char siew, halal, laksa, lemon sauce, chicken cutlet, roasted chicken",https://www.google.com/maps/place/My+Kampung/data=!4m7!3m6!1s0x31da1664ce6d63e3:0xb673d100f9711803!8m2!3d1.3916487!4d103.8758799!16s%2Fg%2F11f_x8y_mj!19sChIJ42NtzmQW2jERAxhx-QDRc7Y?authuser=0&hl=en&rclk=1,Punggol,10:30,21:30
145,146,Kopitiam Square,3962,3.9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAs7rvakdoEU93rCkAziKsAzRzRcbUsNviljBmJN63iNiR8Q1NNEepC4t_y08Eql-xvB2fnWjSPzviJJoXF97ZOn5TPmjgLoXPd5r95SezVREfp1AAISj1331rEay6p9wZmmm5=s1024,Hawker center,Open All Days,"10 Sengkang Square, Singapore 544829","stall, halal, food choices, kway chap, wet market, hokkien mee, carrot cake, oyster omelette, mala xiang guo, mookata",https://www.google.com/maps/place/Kopitiam+Square/data=!4m7!3m6!1s0x31da161285da2b5f:0x4f5464c99aa02d0e!8m2!3d1.3914889!4d103.8936103!16s%2Fg%2F11d_pt7csh!19sChIJXyvahRIW2jERDi2gmslkVE8?authuser=0&hl=en&rclk=1,Sengkang,,
146,147,Hua Zai HK Style Roasted Delight Rice Noodle,77,2.7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npM-xED7mXBFIt1V2AQ7CSTqqINtxRwVToHW3DdIWpkc1__9zE-GC2tfbvkkaRbNdWSDv8Oo-njclSJJV5rh2WGMo5EzLVDD5yppGMz7he2_pHdbWzSem9mkM_cTKd5U1wVkpHo=s1024,Chinese restaurant,Open All Days,"308 Anchorvale Rd, Singapore 540308","char siew, price, duck, soy sauce chicken, siu yuk, wanton mee, corn soup, poster, lap cheong, boycott",https://www.google.com/maps/place/Hua+Zai+HK+Style+Roasted+Delight+Rice+Noodle/data=!4m7!3m6!1s0x31da166c3340d181:0x17e845789588281b!8m2!3d1.3893085!4d103.8865364!16s%2Fg%2F11gbxbtbg2!19sChIJgdFAM2wW2jERGyiIlXhF6Bc?authuser=0&hl=en&rclk=1,Sengkang,08:30,21:00
147,148,Hainanese Curry Rice,26,2.9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqgZvHSvZ8JCOFbQ4Dd0uaFZioskFsQII3tQv8tOnDQDExCYKc5aFBia8KTtBtaVxAhxPci0XeIeDErD6kObj-RRQtz4uIs0Fdb6ZIVQQHB1XT5pUEA0ZcZSQ9lFxn-P-hI1kbvlQ=s1024,Hawker Stall,Open All Days,"51 Hougang Ave 9, #01-28 Ci Yuan Hawker Centre, Singapore 538776","price, chop, fried chicken, aunty, sotong, egg, cabbage, spoon, set, plate",https://www.google.com/maps/place/Hainanese+Curry+Rice/data=!4m7!3m6!1s0x31da1645a5fa45fd:0x4182c984fe9cd675!8m2!3d1.3753647!4d103.8828627!16s%2Fg%2F11cmtx6c9q!19sChIJ_UX6pUUW2jERddac_oTJgkE?authuser=0&hl=en&rclk=1,Hougang,,
148,149,Xiang Xiang Hunan Cuisine,1858,4.8,https://lh3.googleusercontent.com/p/AF1QipNvGbQrCwYsMnyBHxz8EJrcMbpm2jm4BkhG033o=s1024,Hunan restaurant,Open All Days,"70 Compassvale Bow, #01-32 Sengkang Grand Mall Singapore 544692","ice cream, stir-fried pork, pumpkin soup, La Zi Ji, bullfrog, stir-fried cauliflower, signature dish, steamed egg, HDL, cumin beef",https://www.google.com/maps/place/Xiang+Xiang+Hunan+Cuisine/data=!4m7!3m6!1s0x31da17883462c19f:0xc4379c636c04f800!8m2!3d1.3818605!4d103.8927256!16s%2Fg%2F11sjrnhqfp!19sChIJn8FiNIgX2jERAPgEbGOcN8Q?authuser=0&hl=en&rclk=1,Sengkang,11:00,22:00
149,150,Swee Choon Anchorvale Village,725,4.3,https://lh3.googleusercontent.com/p/AF1QipN7TU9dLkUfprSCfCbcmxfwn_IfhWMllVg5SP90=s1024,Dim sum restaurant,Open All Days,"339A Anchorvale Rd, B1-06-07, Singapore 541339","porridge, outlet, carrot cake, signature, aircon, lychee, cashier, yangzhou fried rice, overcooked, qr code",https://www.google.com/maps/place/Swee+Choon+Anchorvale+Village/data=!4m7!3m6!1s0x31da1796efa86ff3:0x5c315fa2aed87a1b!8m2!3d1.3966504!4d103.8881862!16s%2Fg%2F11vzs40kv6!19sChIJ82-o75YX2jERG3rYrqJfMVw?authuser=0&hl=en&rclk=1,Sengkang,08:00,22:00
150,151,Nick Chef,10,4.2,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFcx9wypU-NX65czNU1H1bVKLPHdhW1fR4BaGTUL8ert3IMHx5IxwZq3QCXJigCGnJIjDXiH16_lYtz4lt14jNZJQ6mgjz58raykIUMonIzaJ7B0REEymicknaGRry3iIWp1cRPKtwdH1TT0VLVeTRixjWNCj9qBmJKZI66dzIJ52jpuxJsrFAq=s1024,Hawker Stall,Open All Days,"277C Compassvale Link, Singapore 543277",fried rice,https://www.google.com/maps/place/Nick+Chef/data=!4m7!3m6!1s0x31da17006e492ec5:0xa570ef2cebada5ac!8m2!3d1.3827062!4d103.8935385!16s%2Fg%2F11wmkb5mc4!19sChIJxS5JbgAX2jERrKWt6yzvcKU?authuser=0&hl=en&rclk=1,Sengkang,10:00,21:45
151,152,Rice Garden,10,1.9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqR389NrJVmhHbFSkIq-Z13OamCkpxShf0h35keOR7_VLUFpKHf3hkSK-2WQi0cDQBU_KPHSkbusMR4wvuq7Jt83Q1Z1FyCu_NIkHYqzu4mRPefduudnzcHwIUDLgYHA_ljVrEj=s1024,Hawker Stall,Open All Days,"21 Sengkang W Ave, #03-28, Singapore 797650","price, vegetable",https://www.google.com/maps/place/Rice+Garden/data=!4m7!3m6!1s0x31da17167c45e335:0x663dc427a9505020!8m2!3d1.3914262!4d103.8770222!16s%2Fg%2F11t5bhj63f!19sChIJNeNFfBYX2jERIFBQqSfEPWY?authuser=0&hl=en&rclk=1,Punggol,,
152,153,Ding Jian Hong Kong Style Charcoal Roasted Ding Jian Gang Shi Tan Shao Shao La,20,1.6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqU1-cGZliH8QkGj58efjOlxeITXmoa0fLH1T-PqcEtMVshSLjo6I5hGgAcf4b4jq21x65ANUEcO4D2QYnWh6___3n0qpFNfLrQxGMGSKLJ6_3PzzfCH1mzMtQ7lBoYWiKjU3Um=s1024,Hawker Stall,Open All Days,"275D Compassvale Link, #01-01 Stall 2 Kopitiam Corner, Singapore 544275","rice, char siew, roast duck",https://www.google.com/maps/place/Ding+Jian+Hong+Kong+Style+Charcoal+Roasted+%E9%BC%8E%E5%B0%96%E6%B8%AF%E5%BC%8F%E7%82%AD%E7%87%92%E7%87%92%E8%87%98/data=!4m7!3m6!1s0x31da16157f28a7e7:0x9d9a1a799c948b4d!8m2!3d1.3830537!4d103.8937267!16s%2Fg%2F11fnwhq__3!19sChIJ56cofxUW2jERTYuUnHkamp0?authuser=0&hl=en&rclk=1,Sengkang,10:00,21:00
153,154,Wee's Chicken Rice (#01-34),12,4.7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQK6ejyz80XMv_8v32JqQi8kYodD99dd9kePmeCilzJEjeozEKxjE67yjOa_QacUAaik0sz3uaU_IcquR-TgKEr3pUV17qvjN3snt3aDubb3wYDMPJ77xGVRjQl_-Q4YgxWfqE=s1024,Hawker Stall,Wednesday,"453A Ang Mo Kio Ave 10, #01/34, Singapore 561453","roasted chicken rice, soup",https://www.google.com/maps/place/Wee%27s+Chicken+Rice+%28%2301-34%29/data=!4m7!3m6!1s0x31da179c43355629:0xa76e48601c6474eb!8m2!3d1.3682223!4d103.8562609!16s%2Fg%2F11kc975_hz!19sChIJKVY1Q5wX2jER63RkHGBIbqc?authuser=0&hl=en&rclk=1,Ang Mo Kio,09:30,15:00
154,155,Hong Yun Chicken Rice,36,4.5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noobyDavNeX7knjQaOby4XPkOSQJrs6RKNHoj-AuLpvIUsp66xPOXtU7PablKisj6AqVgWQpaMgkDjCLMthoczTQSnW-kUmdVZZjGhTyIu1iBpr1bi41vQL9It75YxTssM9s6NRelqT-0Y=s1024,Hawker Stall,Open All Days,"118 Hougang Ave 1, Block 118, Singapore 530118","chili, egg, money, roast chicken, queue, fragrance, dinner, a whole chicken, set meal, dark sauce",https://www.google.com/maps/place/Hong+Yun+Chicken+Rice/data=!4m7!3m6!1s0x31da171afc13f6ef:0xb08f5fbe763de75e!8m2!3d1.3534636!4d103.8874611!16s%2Fg%2F11n06lrrjs!19sChIJ7_YT_BoX2jERXuc9dr5fj7A?authuser=0&hl=en&rclk=1,Hougang,09:30,21:00
