,Index,name,reviews,rating,featured_image,main_category,closed_on,address,review_keywords,link,planning_area,opening_time,closing_time
114,115,Xing Le Xing Hainanese Chicken Rice,73,4.3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrE0TSpgOwIPsCHUmRlrCkL2ecBMUCSDWw6i2gj2YOK9X-XuoDgQOrA3TEUfQd7Qf0uRja_tR7MjTQwKxcw1rpAZZl3H_pfZ223ZdtTdSJ7-6h0KA9GHKgKrKOGO5Vhr3jxKbGvJw=s1024,Hawker Stall,Open All Days,"289c Compassvale Cres, #01-01, Singapore 543289","roasted chicken, soup, coffee shop, bean sprouts, payment system, paylah, braised, smell, vouchers, cash",https://www.google.com/maps/place/Xing+Le+Xing+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da17aa64157543:0xf78b503a20fa381a!8m2!3d1.3977298!4d103.8970199!16s%2Fg%2F11rk002v3h!19sChIJQ3UVZKoX2jERGjj6IDpQi_c?authuser=0&hl=en&rclk=1,Sengkang,10:00,21:30
115,116,Fitra Chicken Rice,11,4.5,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFoi9e_1j8ZrGoF0i0DvzebCUxWCfKl2e3BNFFMVpkKBU7W8Ew7vQUkCQ8x2tU2wLxdRId6fVcNDckVKUELpFfANaNz4dunG9LFa6ZZ867kt1_sjXffbtOJwjHw4IeZYcZrA30L1yVWDxQbuwIjHVJ84pg0NZo4gpNQFoqbyn-B_NQmDZ0vyt6a=s1024,Hawker Stall,Open All Days,"10 Sengkang Square, #01-55 Kopitiam Square, Singapore 544829",,https://www.google.com/maps/place/Fitra+Chicken+Rice/data=!4m7!3m6!1s0x31da175f71e75681:0x1d69be6aae3ba3ed!8m2!3d1.3913919!4d103.8936922!16s%2Fg%2F11vdgm7_k5!19sChIJgVbncV8X2jER7aM7rmq-aR0?authuser=0&hl=en&rclk=1,Sengkang,09:30,20:30
116,117,OK Chicken Rice & Humfull Laksa (Hougang),362,4.4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXMwD59Us2HjTmkrnjzbuIPtDE6Fx_hLS4_4bPirsOvd4xND3oyzYYNEVwwcDm7S8EURLz_7_cWFRMNDyTWI4PforlujemEB9_TuhAz5NOY37KBCS0lN8F5I-UDyCMbbsfHCKq=s1024,Hawker Stall,Open All Days,"932 Hougang Ave 9, #01-04, Singapore 530932","soup, roasted chicken rice, halal, steam chicken, curry chicken, chili, spicy, cutlet, quick service, char siew chicken",https://www.google.com/maps/place/OK+Chicken+Rice+%26+Humfull+Laksa+%28Hougang%29/data=!4m7!3m6!1s0x31da17766e8b313d:0xae608765948d5688!8m2!3d1.3751909!4d103.8819805!16s%2Fg%2F11kkpvgfgn!19sChIJPTGLbnYX2jERiFaNlGWHYK4?authuser=0&hl=en&rclk=1,Hougang,09:00,20:30
117,118,Foo Kee Hainanese Chicken Rice,26,3.1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqsHDyfceOZV6SZR6EYgMBLc2pz2M_4PMnf8D05kGl1MOVvE9hvCSzObj06pevd8wM2yYk3rC_X3-wNwyvWkzPoO-aQ84QmS1vuVURdhHk7qyarwFlh8gL38KF47ZyRM1PeoU0e=s1024,Restaurant,Open All Days,"303 Anchorvale Link, #01-01, Singapore 540303","price, chilli, quantity, roasted",https://www.google.com/maps/place/Foo+Kee+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da166ca8e87e5b:0xf21c6b75cad9606c!8m2!3d1.3874164!4d103.8906046!16s%2Fg%2F1ths6w24!19sChIJW37oqGwW2jERbGDZynVrHPI?authuser=0&hl=en&rclk=1,Sengkang,10:00,19:30
118,119,Xin Hong Yun Hainanese Boneless Chicken Rice,3,4.3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqpUCUfqwq-RkMuOyKfWHF1jKFqbCCbMkOMcRWptlKGgsibCEFPMXzZCbzmDcksQx6KarjYZuMVksKnunSPGw3QyHp9VL7YEZu7CsImBTasstD10K9pCMvKJwlyF0F3PPKroBnkxlN3hJh6=s1024,Hawker Stall,Open All Days,"447A Jln Kayu, #01-01 Fernvale Lodge, Singapore 791447",,https://www.google.com/maps/place/Xin+Hong+Yun+Hainanese+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da170036fc79fb:0x725be6c0bca6dece!8m2!3d1.3921756!4d103.8724408!16s%2Fg%2F11xcngx5xd!19sChIJ-3n8NgAX2jERzt6mvMDmW3I?authuser=0&hl=en&rclk=1,Punggol,,
119,120,Xing Le Xing Hainanese Chicken Rice,46,4.3,https://lh3.googleusercontent.com/p/AF1QipMpHvmAPAetB7jB0O3p0p8v-neRp1pqtgeQ5S6Y=s1024,Hawker Stall,Open All Days,"118 Rivervale Dr, #02-15 Rivervale Plaza, Singapore 540118","price, thigh, steamed chicken, fragrance, chilli, matter",https://www.google.com/maps/place/Xing+Le+Xing+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da174c75359a9d:0xc53d7e82f86bfb99!8m2!3d1.3855939!4d103.9019834!16s%2Fg%2F11sgkvv4j7!19sChIJnZo1dUwX2jERmftr-IJ-PcU?authuser=0&hl=en&rclk=1,Sengkang,10:00,21:30
120,121,Feng Ji Hainanese Boneless Chicken Rice (Feng Ji Hai Nan Qi Gu Ji Fan),49,2.1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqOf5PI2U6gpIyBOel23uf-z1cgtvf8B6rAkRH7yQFMgjIx27b9nrfnZIXWKVaaJ2fI7D9dDa5yQWv8YD388ed7PSrAEDeFr9L1C2EGMbUpP1bT9fp0aVWtuWkgV6BlwsPclldi=s1024,Hawker Stall,Open All Days,"70 Compassvale Bow, #02-K16 Buangkok Hawker Centre, Singapore 544692","price, queue, vegetables, steamed chicken, roasted chicken, thigh, chilli sauce, butt, braised egg, wings",https://www.google.com/maps/place/Feng+Ji+Hainanese+Boneless+Chicken+Rice+%28%E4%B8%B0%E8%AE%B0%E6%B5%B7%E5%8D%97%E8%B5%B7%E9%AA%A8%E9%B8%A1%E9%A5%AD%29/data=!4m7!3m6!1s0x31da176c08bf9a31:0x940511ecd65c2492!8m2!3d1.3829139!4d103.8924848!16s%2Fg%2F11y22x7m_t!19sChIJMZq_CGwX2jERkiRc1uwRBZQ?authuser=0&hl=en&rclk=1,Sengkang,11:00,20:30
121,122,Wu Ming Chicken Rice,18,3.6,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGuPcwEuiQj6HekbauOhhkcN2fUcV7jUYBfc2xi1s6RpNpU5D_mWFX62ZHeUgXkLaJ176wzMgLsRfsaVLhrQp4mlI6LlWjF217-Gosruo1GK8Mc_Xu1zq5ktNOoT1JV3TR-Gutba83wbT5CM8JFi_DLwWkKioc-4zMeKZ5y7pP9L-nAVEkJNLiz=s1024,Hawker Stall,Open All Days,"275D Compassvale Link, #01-01 Stall 8 Kopitiam Corner, Singapore 544275","soup, steamed, bone, ingredients, chilli, takeaway, price",https://www.google.com/maps/place/%E6%97%A0%E5%90%8D+Chicken+Rice/data=!4m7!3m6!1s0x31da17854e82a8a5:0x7bb229b7b4a57bc7!8m2!3d1.3831673!4d103.8937652!16s%2Fg%2F11qbhvjnkm!19sChIJpaiCToUX2jERx3ultLcpsns?authuser=0&hl=en&rclk=1,Sengkang,,
122,123,Soon Heng Boneless Chicken Rice,27,4.6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRsLcOLcKH2LEf83LBTI0QdOgDEtqmDo0XGh2hwMkvV8uVpvlGlC4yFBJRLi6TZB-FcqfjL5RRnE46Qval1PuqUl7K3v3gW91nnREqkjBFULPUUuLMPTm6YHxtIdvsxG9NI174PA=s1024,Hawker Stall,Monday,"682 Hougang Ave 4, #01-346, Singapore 530682","queue, lunch, cutlet, chilli, roasted pork, duck, char siew, pricing, soup",https://www.google.com/maps/place/Soon+Heng+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da1700938080f3:0xbcc485d0398c5114!8m2!3d1.3735708!4d103.8856737!16s%2Fg%2F11nr_vld3h!19sChIJ84CAkwAX2jERFFGMOdCFxLw?authuser=0&hl=en&rclk=1,Hougang,10:00,16:30
123,124,Ah Khoon Authentic Hainanese Chicken Rice,10,4.2,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0mDg57Sy2KJDrUIr1RoV76_MOxmc7OwY-XkzHkXmujsvYgcgV4M5iW3d2T6Dz5YIK6iGfWzfLHVSD2fbieqXGrQqqbx5lpfPby9kMtNqpk7NVnkHQXJOSRvYAn3La56j9mvI=s1024,Hawker Stall,Open All Days,"51 Hougang Ave 9, #01-05 Ci Yuan Hawker Centre, Singapore 538776","price, grain, sauce",https://www.google.com/maps/place/Ah+Khoon+Authentic+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da17c2b5c03449:0x3aa485785d39b2b7!8m2!3d1.3750138!4d103.8829912!16s%2Fg%2F11gtg83bg3!19sChIJSTTAtcIX2jERt7I5XXiFpDo?authuser=0&hl=en&rclk=1,Hougang,09:30,18:30
